page,title,price,location,size_m2,url
4,Apartment for rent in La Marsa. 1 lovely room. Furnishings,"2,000 TND",La Marsa,"50
						m²",N/A
4,Great apartment for rent in Sidi El Mahrsi. Area of 200 m²...,"1,800 TND",Nabeul,"200
						m²",N/A
4,Apartment for rent in La Marsa. 4 large living areas. New fu...,"6,000 TND",La Marsa,3 Rooms,N/A
4,Apartment for rent in Cité Erriadh. 2 large living areas. Ce...,"1,600 TND",La Marsa,"94
						m²",N/A
4,Great apartment for rent in Cité Les Pins. 4 rooms. Carpark...,"3,100 TND",La Marsa,"180
						m²",N/A
4,Apartment for rent in Hammamet Sud. 3 comfortable rooms. New...,"2,300 TND",Hammamet,"130
						m²",N/A
5,Very nice apartment for rent in Les Jardins de Carthage. Sur...,"2,000 TND",Le Kram,2 Rooms,N/A
5,Rent an apartment in Les Jardins de Carthage. Large area 1 m...,"4,300 TND",Le Kram,3 Rooms,N/A
5,Rent this apartment in Les Jardins de Carthage. 1 room. Well...,"2,500 TND",Le Kram,1 Room,N/A
5,Rent this apartment in Les Jardins de Carthage. 3 lovely roo...,"2,100 TND",Le Kram,3 Rooms,N/A
5,Apartment for rent in Gammarth. 3 comfortable rooms. Well de...,"7,500 TND",La Marsa,2 Rooms,N/A
5,Very nice apartment for rent in Les Jardins de Carthage. 4 c...,"3,800 TND",Le Kram,3 Rooms,N/A
5,Lovely apartment for rent in Les Jardins de Carthage. 5 comf...,"3,200 TND",Le Kram,3 Rooms,N/A
5,Alma residence,"From180,000 TND",Nouvelle Medina,"Delivery:
									November 2027",N/A
5,Find an apartment for rent in Sidi Daoued. 1 Living area. We...,"1,900 TND",La Marsa,"70
						m²",N/A
5,Rent an apartment in Les Jardins de Carthage. Total area 1 m...,"2,300 TND",Le Kram,1 Room,N/A
5,Apartment for rent in Les Berges Du Lac 2. Small area 160 m²...,"3,600 TND",La Marsa,"160
						m²",N/A
5,Find an apartment for rent in La Marsa. Area 80 m². Well fur...,"1,500 TND",La Marsa,"80
						m²",N/A
5,Offices for rent in La Perle du Lac 1. Dimension 250 m². The...,"1,500 TND",La Marsa,"75
						m²",N/A
5,Offices for rent in Les Berges Du Lac 1. Dimension 150 m². C...,"2,400 TND",Le Kram,"180
						m²",N/A
5,Apartment for rent. 3 rooms. Dressing room,"4,000 TND",La Marsa,"180
						m²",N/A
5,Rent an apartment in Les Jardins de Carthage. Total area 90...,"1,900 TND",La Marsa,"145
						m²",N/A
5,Rent an apartment in El Menzah 1. 4 large rooms. Gardeners...,"2,600 TND",El Menzah,"238
						m²",N/A
5,Apartment for rent in Les Jardins de Carthage. 2 beautiful r...,"1,600 TND",Le Kram,"100
						m²",N/A
5,Great apartment for rent in La Marsa. Area of 300 m². New fu...,"7,000 TND",La Marsa,"300
						m²",N/A
5,Lovely apartment for rent in La Marsa. 3 rooms. General sate...,"7,000 TND",La Marsa,"180
						m²",N/A
