title,price,location,size_m2,url,page
Find an apartment to buy in Chotrana 1.4 large living areas...,"530,000 TND",La Soukra,"155
						m²",N/A,5
Apartment for sale in Chotrana 1.1 lovely room. Thermal insu...,"238,000 TND",La Soukra,"77
						m²",N/A,5
Apartment to purchase in Chotrana 1. Area of 125 m². Reinfor...,"475,000 TND",La Soukra,"125
						m²",N/A,5
Sell apartment in Chotrana 1. Surface area 140 m². No Lift...,"620,000 TND",La Soukra,"140
						m²",N/A,5
Sale of a lovely apartment in Hammamet. 1 Living area,"335,000 TND",Hammamet,"115
						m²",N/A,5
Find an apartment to buy in Hammamet. 1 room. Swimming pool...,"264,400 TND",Hammamet,"57
						m²",N/A,5
Sale of a lovely apartment in Chotrana 2.3 beautiful rooms...,"650,000 TND",La Soukra,"156
						m²",N/A,5
Sale of a lovely apartment in Cité El Wafa. Large area 100 m...,"300,000 TND",Nabeul,"100
						m²",N/A,5
Sale of a lovely apartment in Cité El Wafa. 1 Living area. P...,"237,000 TND",Nabeul,"60
						m²",N/A,5
Apartment for sale in Hammamet. 1 Living area. Basement,"268,000 TND",Hammamet,"57
						m²",N/A,5
Fabulous apartment for sale in Hammamet Nord. Surface area 1...,"390,000 TND",Hammamet,"132
						m²",N/A,5
Fabulous apartment for sale in Chotrana 2.4 comfortable room...,"703,000 TND",La Soukra,"140
						m²",N/A,5
Sell apartment in Ain Zaghouan Nord. Dimension 150 m². Garag...,"433,000 TND",La Marsa,"150
						m²",N/A,5
Beautiful apartment for sale in La Marsa. 2 rooms. Double gl...,"300,000 TND",La Marsa,"95
						m²",N/A,5
N/A,N/A,N/A,N/A,N/A,5
Apartment for sale in El Kantaoui. 3 rooms. Partial sea view...,"598,719 TND",Hammam Sousse,"144
						m²",N/A,6
Apartment to purchase in El Kantaoui. 2 beautiful rooms. Car...,"383,600 TND",Hammam Sousse,"97
						m²",N/A,6
