page,title,price,location,listing_date,url,source,size_m2,price_num,type,bedrooms,location_clean
13,Villa en vente,1290000 DT,Tunis,17 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/el-manar-1/villa-en-vente/6962120e0fe2505852624813/,tayara,,1290000.0,sale,,Tunis
13,A vendre une villa avec piscine à Gammarth,3900000 DT,Tunis,17 hours ago,https://www.tayara.tn/item/maisons-et-villas/tunis/gammarth/a-vendre-une-villa-avec-piscine-gammarth/696907a0181355990922243d/,tayara,,3900000.0,sale,,Tunis
13,À vendre terrain 707m² à Route Manzel Chaker km 6,125000 DT,Sfax,18 hours ago,https://www.tayara.tn/item/terrains-et-fermes/sfax/route-manzel-chaker/-vendre-terrain-707m-route-manzel-chaker-km-6/66bb633b93ade400e6b5deb3/,tayara,,125000.0,sale,,Sfax
13,Terrain à vendre 610m² clôturé à Route el Ain km 3 (زنقة شاكر) 300m de la route principale,320000 DT,Sfax,18 hours ago,https://www.tayara.tn/item/terrains-et-fermes/sfax/route-el-ain/terrain-vendre-610m-cltur-route-el-ain-km-3-300m-de-la-route-principale/67d81503fd1c6385be371d90/,tayara,,320000.0,sale,,Sfax
13,À vendre terrain avec une ancienne villa 1314m²à Route manzel chaker km 3,575000 DT,Sfax,18 hours ago,https://www.tayara.tn/item/terrains-et-fermes/sfax/route-menzel-chaker/-vendre-terrain-avec-une-ancienne-villa-1314m-route-manzel-chaker-km-3/68012de5fd1c6385be51fc12/,tayara,,575000.0,sale,,Sfax
13,"Terrain à vendre 870m² R +2 à Route mharza km 5,sur la route principale",260000 DT,Sfax,18 hours ago,https://www.tayara.tn/item/terrains-et-fermes/sfax/route-mharza/terrain-vendre-870m-r-2-route-mharza-km-5sur-la-route-principale/68399d9aa2a7af12062277cd/,tayara,,260000.0,sale,,Sfax
14,a vendre un terrain de 320m a jardin menzah 2,450000 DT,Ariana,18 hours ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/les-jardins-el-menzah-2/a-vendre-un-terrain-de-320m-a-jardin-menzah-2/696e6c912838b4e202469902/,tayara,,450000.0,sale,,Ariana
14,Maison à vendre,110 DT,Le Kef,19 hours ago,https://www.tayara.tn/item/maisons-et-villas/le-kef/kef-est/maison-vendre/696e61dc1813559909240b73/,tayara,,110.0,sale,,Le Kef
14,A vendre S+3 a Ennkhilet,380000 DT,Ariana,19 hours ago,https://www.tayara.tn/item/appartements/ariana/tunis/a-vendre-s3-a-ennkhilet/69342084cd04d08be7465b11/,tayara,,380000.0,sale,,Ariana
14,a vendre terrain a ariana soghra,330600 DT,Ariana,19 hours ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/ariana-essoughra/a-vendre-terrain-a-ariana-soghra/690e1921145e1617cb9ee4d1/,tayara,,330600.0,sale,,Ariana
14,A vendre villa s+2 a cité el ghazela,480000 DT,Ariana,19 hours ago,https://www.tayara.tn/item/maisons-et-villas/ariana/ghazela/a-vendre-villa-s2-a-cit-el-ghazela/68f621ca5709529b94aa44ad/,tayara,,480000.0,sale,,Ariana
15,A vendre villa s+2 a cité el ghazela,480000 DT,Ariana,19 hours ago,https://www.tayara.tn/item/maisons-et-villas/ariana/ghazela/a-vendre-villa-s2-a-cit-el-ghazela/68f621ca5709529b94aa44ad/,tayara,,480000.0,sale,,Ariana
15,A vendre terrain a Jabes,270000 DT,Ariana,19 hours ago,https://www.tayara.tn/item/terrains-et-fermes/ariana/sidi-thabet/a-vendre-terrain-a-jabes/68dd614507c7711d7c7a3e4f/,tayara,,270000.0,sale,,Ariana
15,"À VENDRE – S+3 A SOKRA , SIDI SALAH .",200 DT,Ariana,19 hours ago,https://www.tayara.tn/item/appartements/ariana/la-soukra/-vendre-s3-a-sokra-sidi-salah-/696e5bc92838b4e2024690af/,tayara,,200.0,sale,,Ariana
